Item1,Item2,Item3,Item4,Item5,Item6
milk,bread,butter,eggs,,
bread,diapers,beer,eggs,coke,
milk,diapers,beer,coke,apples,
bread,butter,cheese,,,
milk,bread,diapers,beer,coke,chips
bread,milk,diapers,coke,apples,butter
milk,eggs,apples,,,
bread,eggs,coke,cheese,,
diapers,beer,chips,,,
milk,bread,butter,eggs,cheese,
milk,bread,cheese,chips,beer,
bread,butter,apples,,,
milk,diapers,beer,,,
bread,butter,cheese,apples,eggs,
milk,bread,diapers,beer,cheese,chips
bread,eggs,coke,,,
milk,bread,cheese,,,
diapers,beer,apples,eggs,,
milk,diapers,chips,coke,cheese,
bread,eggs,beer,,,
milk,cheese,chips,,,
diapers,coke,apples,,,
milk,bread,butter,cheese,apples,
bread,cheese,apples,,,
milk,diapers,beer,cheese,,
bread,butter,eggs,apples,,
milk,beer,eggs,,,
diapers,cheese,coke,chips,,
milk,butter,apples,,,
bread,eggs,beer,chips,,
