bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,price
3,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,313000
5,2.5,3650,9050,2,0,4,5,3370,280,1921,0,2384000
3,2,1930,11947,1,0,0,4,1930,0,1966,0,342000
3,2.25,2000,8030,1,0,0,4,1000,1000,1963,0,420000
4,2.5,1940,10500,1,0,0,4,1140,800,1976,1992,550000
2,1,880,6380,1,0,0,3,880,0,1938,1994,490000
2,2,1350,2560,1,0,0,3,1350,0,1976,0,335000
4,2.5,2710,35868,2,0,0,3,2710,0,1989,0,482000
3,2.5,2430,88426,1,0,0,4,1570,860,1985,0,457000
4,2,1520,6200,1.5,0,0,3,1520,0,1945,2010,600000
3,1.75,1710,7320,1,0,0,3,1710,0,1948,1994,457000
4,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,1000000
3,1.75,2330,14892,1,0,0,3,1970,360,1980,0,457000
3,1,1090,6435,1,0,0,4,1090,0,1955,2009,342000
5,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,1200000
3,1.5,1200,9720,1,0,0,4,1200,0,1965,0,242500
